,Unnamed: 0,molecule,temperature,restart,sim_liq_density,sim_vap_density,Hvap,sim_Pvap,liq_enthalpy,vap_enthalpy,sim_Hvap,sim_Tc,sim_rhoc
133,133,R152a,340,2,819.486003445,55.0199842788,15.754890614377398,16.945183802681,-65573.2479387,-12916.23240368,238.52614819423474,390.03922077460965,382.1893372467099
134,134,R152a,340,3,819.9464412680001,53.477324953700005,15.862947662110802,16.84103451921,-65954.7792762,-12572.24329725,240.1621120363174,390.03922077460965,382.1893372467099
135,135,R161,220,1,848.3816331150001,1.9645029995200003,20.702594571225315,0.727677005607,-25715.104366500003,-6530.28017843,430.770078157811,352.5939117413568,307.6812554438418
136,136,R161,220,2,848.40729823,2.00886823706,20.709421240610705,0.742758699554,-25452.6895154,-6678.04764734,430.9121243585703,352.5939117413568,307.6812554438418
137,137,R161,220,3,848.811527075,2.0648293802500004,20.721980468406,0.7639395568809999,-25126.6894857,-6865.102847670001,431.17345100148776,352.5939117413568,307.6812554438418
138,138,R161,240,1,807.7254426940001,4.93494928914,19.44050432176408,1.93553561078,-24416.496475000004,-6393.18059975,404.50908398472893,352.5939117413568,307.6812554438418
139,139,R161,240,2,809.855468331,5.21637954196,19.472627105250137,2.04148879556,-23793.583888,-6762.3194098,405.177480107994,352.5939117413568,307.6812554438418
140,140,R161,240,3,809.4625968219999,5.172476808370001,19.453161490999808,2.0259413845,-23883.7905035,-6707.19337009,404.77244854814984,352.5939117413568,307.6812554438418
141,141,R161,260,1,767.350026771,11.19002069958,18.043308524319624,4.55410547133,-22529.0955259,-6625.80703622,375.4368756295764,352.5939117413568,307.6812554438418
142,142,R161,260,2,768.063358628,11.79948836854,18.006618460931556,4.76562765867,-21906.2760816,-7003.41078987,374.6734456440778,352.5939117413568,307.6812554438418
143,143,R161,260,3,766.863519226,11.04956915664,18.042311470074623,4.48017764324,-22677.0088933,-6538.88830852,375.4161293828405,352.5939117413568,307.6812554438418
144,144,R161,280,1,719.3032951209999,21.1044405982,16.421455402617113,8.68537817733,-21487.4477883,-6350.76216201,341.6901008669902,352.5939117413568,307.6812554438418
