Run,Iter,Min Obj,Param Min,Min Obj Cum.,Param Cum.,jac evals,Termination,Run Time
170,475,4620377.009039112,"[ 3.19980056  4.          1.5         3.07877087  2.78170897  2.0000001
 58.55990286 75.         10.         29.94484703 50.         47.1693475 ]",4620376.797557669,"[ 3.19980056  4.          1.5         3.07877097  2.78170897  2.
 58.55990286 75.         10.         29.94484703 50.         47.1693475 ]",37,0,280.18205070495605
160,432,4620376.9467256265,"[ 3.19977909  3.9999999   1.5         3.07878116  2.78170607  2.
 58.56082526 75.         10.         29.94474311 50.         47.16959201]",4620376.797557924,"[ 3.19977919  4.          1.5         3.07878116  2.78170607  2.
 58.56082526 75.         10.         29.94474311 50.         47.16959201]",34,0,259.1552586555481
171,461,4620376.797563149,"[ 3.19979213  4.          1.5         3.07877236  2.78167935  2.
 58.56044565 75.         10.         29.94424295 50.         47.16944898]",4620376.797563149,"[ 3.19979213  4.          1.5         3.07877236  2.78167935  2.
 58.56044565 75.         10.         29.94424295 50.         47.16944898]",36,0,271.73412108421326
52,513,4620376.797599514,"[ 3.19978654  4.          1.5         3.07876582  2.78172226  2.
 58.56062203 75.         10.         29.94443076 50.         47.16954404]",4620376.797594954,"[ 3.19978654  4.          1.5         3.07876592  2.78172216  2.
 58.56062203 75.         10.         29.94443076 50.         47.16954404]",40,0,326.30033802986145
148,422,4620376.797630176,"[ 3.19979904  4.          1.5         3.07879224  2.78170585  2.
 58.56007365 75.         10.         29.94619557 50.         47.16952111]",4620376.797628969,"[ 3.19979904  4.          1.5         3.07879234  2.78170575  2.
 58.56007365 75.         10.         29.94619557 50.         47.16952111]",33,0,251.53316855430603
126,499,4620376.797641688,"[ 3.19980444  4.          1.5         3.07878123  2.78170173  2.
 58.55989323 75.         10.         29.94571931 50.         47.16939936]",4620376.797641688,"[ 3.19980444  4.          1.5         3.07878123  2.78170173  2.
 58.55989323 75.         10.         29.94571931 50.         47.16939936]",39,0,295.8836681842804
163,492,4620376.797647057,"[ 3.19978157  4.          1.5         3.07877337  2.78170888  2.
 58.56074448 75.         10.         29.94405422 50.         47.16975613]",4620376.797647057,"[ 3.19978157  4.          1.5         3.07877337  2.78170888  2.
 58.56074448 75.         10.         29.94405422 50.         47.16975613]",38,0,290.4864890575409
31,462,4620377.009150726,"[ 3.1998049   4.          1.5         3.07876692  2.78169869  2.0000001
 58.55991031 75.         10.         29.94496123 50.         47.16936436]",4620376.797668209,"[ 3.1998049   4.          1.5         3.07876702  2.78169869  2.
 58.55991031 75.         10.         29.94496123 50.         47.16936436]",36,0,288.8685710430145
111,431,4620376.797680104,"[ 3.1997954   4.          1.5         3.07877593  2.78174492  2.
 58.56001073 75.         10.         29.94495852 50.         47.16965712]",4620376.797680104,"[ 3.1997954   4.          1.5         3.07877593  2.78174492  2.
 58.56001073 75.         10.         29.94495852 50.         47.16965712]",34,0,256.3313751220703
164,388,4620376.797683841,"[ 3.19978545  4.          1.5         3.07876767  2.78172082  2.
 58.56060523 75.         10.         29.94370343 50.         47.16976   ]",4620376.797683841,"[ 3.19978545  4.          1.5         3.07876767  2.78172082  2.
 58.56060523 75.         10.         29.94370343 50.         47.16976   ]",30,0,228.48899102210999
154,390,4620376.797705291,"[ 3.19979928  4.          1.5         3.07878318  2.78170538  2.
 58.55977094 75.         10.         29.94539997 50.         47.16970405]",4620376.797705291,"[ 3.19979928  4.          1.5         3.07878318  2.78170538  2.
 58.55977094 75.         10.         29.94539997 50.         47.16970405]",30,0,229.07201886177063
189,505,4620376.797740922,"[ 3.19977907  4.          1.5         3.07878623  2.78171965  2.
 58.56049851 75.         10.         29.94464683 50.         47.16980908]",4620376.797740922,"[ 3.19977907  4.          1.5         3.07878623  2.78171965  2.
 58.56049851 75.         10.         29.94464683 50.         47.16980908]",39,0,358.06768560409546
